Forme correcte,Forme erronée (manuel),Correcte,Erroné,FR,IT,NL,UK,GE,Nombre d'apprenants,Apprenants
uniwersytetu,uniwerzitet,rsy,rzi,0,0,0,0,1,1,4123
uniwersytetu,uniweszitet,rsy,szi,0,0,1,0,0,1,2119
uniwersytetu,uniwezitet,rsy,zi,0,0,0,0,1,1,4113
uniwersytetu,uniwezite,rsy,zi,0,0,0,0,1,1,4106
się,cię,s,c,1,0,0,0,0,1,1104
się,cie,s,c,1,0,0,0,0,1,1115
jest,ject,s,c,0,0,1,0,0,1,2102
się,ście,s,śc,1,0,0,0,0,1,1105
kowalskich,kowal,sk,-,0,1,0,0,0,1,5102
skrzyżowaniem,rzeżowanie,sk,-,0,0,0,0,1,1,4106
skręcisz,czrenczisz,sk,cz,1,0,0,0,0,1,1117
sklepu,szlep,sk,sz,0,0,0,1,0,1,3101
skrzyżowania,szyżowani,skrz,sz,0,1,0,0,0,1,5117
skrzyżowania,szyżowanie,skrz,sz,0,0,0,0,1,1,4113
skrzyżowaniu,szyżowanie,skrz,sz,0,1,0,0,0,1,5111
skrzyżowaniem,szyżowanie,skrz,sz,0,0,0,0,1,1,4117
prosto,prochon,st,ch,0,1,0,0,0,1,5113
uniwersytetu,uniwerszitet,sy,szi,0,0,1,0,0,1,2106
juliusza,julucza,sz,cz,1,0,0,0,0,1,1105
juliusza,juliuza,sz,z,0,0,0,1,0,1,3114
szpitala,zapital,sz,za,0,0,0,1,0,1,3102
szpitalem,zospitalu,sz,zos,0,0,1,0,0,1,2102
szkoły,zskola,sz,zs,0,0,0,1,0,1,3102
słowackiego,szlowatsjego,sł,szl,0,1,0,0,0,1,5113
słowackiego,szlowakiego,sł,szl,0,0,1,0,0,1,2119
uniwersytetu,uniwersitecia,t,ci,0,0,0,0,1,1,4112
cztery,cziery,t,i,0,0,0,0,1,1,4119
cztery,czjery,t,j,0,0,1,0,0,1,2107
uniwersytetu,uniwersiteć,t,ć,1,0,0,0,0,1,1115
restauracji,resorancja,tau,o,0,0,0,0,1,1,4123
biblioteką,biblio,teką,-,0,0,0,0,1,1,4119
prosto,pros,to,-,0,0,0,1,0,1,3117
teatru,restorauk,tr,uk,1,0,0,0,0,1,1110
ulicą,alica,u,a,0,0,0,1,0,1,3116
ulicą,alika,u,a,0,0,0,1,0,1,3105
ulicę,alika,u,a,0,0,0,1,0,1,3105
juliusza,juliaszka,u,a,0,0,1,0,0,1,2103
ulicą,elicha,u,e,0,0,0,1,0,1,3105
juliusza,julieszka,u,e,0,0,1,0,0,1,2106
ulicę,olicę,u,o,0,0,0,1,0,1,3115
znajduje,znajdywo,uj,ywo,1,0,0,0,0,1,1114
juliusza,żulianizi,usz,aniz,0,0,0,1,0,1,3102
juliusza,juliaska,usz,ask,0,0,0,1,0,1,3104
juliusza,dżuliaska,usz,ask,0,0,0,1,0,1,3105
juliusza,julicza,usz,cz,0,0,1,0,0,1,2115
juliusza,juliske,usz,sk,0,0,0,1,0,1,3112
juliusza,juliska,usz,sk,0,0,0,0,1,1,4120
juliusza,juliżasi,usz,żas,0,0,1,0,0,1,2107
w,cz,w,cz,1,0,0,0,0,1,1117
w,dze,w,dz,0,1,0,0,0,1,5117
w,es,w,es,1,0,0,0,0,1,1120
w,ez,w,ez,0,1,0,0,0,1,5106
w,ne,w,n,0,0,1,0,0,1,2106
w,obe,w,ob,0,0,0,1,0,1,3105
w,pre,w,pr,0,0,0,0,1,1,4114
nazywa,nazawa,y,a,0,0,0,0,1,1,4105
skrzyżowaniem,rzeżowanie,y,e,0,0,0,0,1,1,4106
nazywa,nazewa,y,e,0,0,0,0,1,1,4119
za,dza,z,dz,0,1,0,0,0,1,5104
za,sza,z,sz,0,0,1,0,0,1,2107
zielony,żelony,zi,ż,0,1,0,0,0,1,5120
nazywa,nażewa,zy,że,0,0,0,0,1,1,4115
krótką,kratika,ó,a,0,0,0,1,0,1,3105
niską,niskom,ą,om,1,0,0,0,0,1,1104
skręcić,skręciak,ć,ak,0,0,1,0,0,1,2115
iść,iśc,ć,c,0,0,0,1,0,1,3105
iść,iścz,ć,cz,1,0,0,0,0,1,1117
skręcić,skręcicz,ć,cz,0,1,0,0,0,1,5101
skręcić,strędżik,ć,k,0,0,0,1,0,1,3102
skręcić,kręciks,ć,ks,0,0,1,0,0,1,2101
skręcić,skręciks,ć,ks,0,0,0,1,0,1,3103
skręcić,szkensiś,ć,ś,1,0,0,0,0,1,1108
skręcić,skreciś,ć,ś,1,0,0,0,0,1,1118
skręcić,skręciś,ć,ś,0,1,0,0,0,1,5117
skręcić,skrenciśt,ć,śt,1,0,0,0,0,1,1118
skręcić,skrecić,ę,e,1,0,0,0,0,1,1120
skręcić,skreciś,ę,e,1,0,0,0,0,1,1118
skręć,strejć,ę,ej,1,0,0,0,0,1,1114
skręcić,skremcić,ę,em,0,1,0,0,0,1,5113
skręć,styryć,ę,y,0,0,0,0,1,1,4120
skręcić,skrenczić,ęc,encz,0,1,0,0,0,1,5107
skręcisz,czrenczisz,ęc,encz,1,0,0,0,0,1,1117
skręcić,skroczie,ęc,ocz,1,0,0,0,0,1,1120
skręcić,skrynczyć,ęci,ynczy,0,0,0,1,0,1,3106
skręcić,skrenczen,ęcić,enczen,0,0,0,1,0,1,3117
słowackiego,sowaskiega,ł,-,1,0,0,0,0,1,1115
słowackiego,sjowackie,ł,j,0,0,0,0,1,1,4101
słowackiego,sklowiańkiego,ł,kl,1,0,0,0,0,1,1101
słowackiego,stowancziengeu,ł,t,0,0,0,1,0,1,3117
środku,szrodku,ś,sz,0,1,0,0,0,1,5105
iść,isze,ść,sz,0,1,0,0,0,1,5109
iść,isz,ść,sz,0,0,0,1,0,1,3101
iść,iszcze,ść,szcz,1,0,0,0,0,1,1117
iść,iszte,ść,szt,0,0,0,1,0,1,3115
